Class	Subclass	Feature	Level	Description
Paladin	Base	Aura Of Courage	10	Starting at 10th level, you and friendly creatures within 10 feet of you can't be frightened while you are conscious. At 18th level, the range of this aura increases to 30 feet.
Paladin	Base	Imporved Divine Smite	11	By 11th level, you are so suffused with righteous might that all your melee weapon strikes carry divine power with them. Whenever you hit a creature with a melee weapon, the creature takes an extra 1d8 radiant damage.
Paladin	Base	Cleansing Touch	14	Beginning at 14th level, you can use your action to end one spell on yourself or on one willing creature that you touch. You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain expended uses when you finish a long rest.
Paladin	Ancients	Tenets Of The Ancients	3	The tenets of the Oath of the Ancients have been preserved for uncounted centuries. This oath emphasizes the principles of good above any concerns of law or chaos. Its four central principles are simple. Kindle the Light: Through your acts of mercy, kindness, and forgiveness, kindle the light of hope in the world, beating back despair. Shelter the Light: Where there is good, beauty, love, and laughter in the world, stand against the wickedness that would swallow it. Where life flourishes, stand against the forces that would render it barren. Preserve Your Own Light: Delight in song and laughter, in beauty and art. If you allow the light to die in your own heart, you can't preserve it in the world. Be the Light: Be a glorious beacon for all who live in despair. Let the light of your joy and courage shine forth in all your deeds.
Paladin	Ancients	Oath Spells	3	You gain oath spells at the paladin levels listed. Oath of the Ancients Spells: Paladin Level 3rd: Ensnaring Strike, Speak with Animals; 5th: Moonbeam, Misty Step; 9th: Plant Growth, Protection from Energy; 13th: Ice Storm, Stoneskin; 17th: Commune with Nature, Tree Stride.
Paladin	Ancients	Channel Divinity	3	When you take this oath at 3rd level, you gain the following two Channel Divinity options. Nature's Wrath: You can use your Channel Divinity to invoke primeval forces to ensnare a foe. As an action, you can cause spectral vines to spring up and reach for a creature within 10 feet of you that you can see. The creature must succeed on a Strength or Dexterity saving throw (its choice) or be restrained. While restrained by the vines, the creature repeats the saving throw at the end of each of its turns. On a success, it frees itself and the vines vanish. Turn the Faithless: You can use your Channel Divinity to utter ancient words that are painful for fey and fiends to hear. As an action, you present your holy symbol, and each fey or fiend within 30 feet of you that can hear you must make a Wisdom saving throw. On a failed save, the creature is turned for 1 minute or until it takes damage. A turned creature must spend its turns trying to move as far away from you as it can and can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can only use the Dash action or try to escape from an effect that prevents it from moving. If there's nowhere to move, it can use the Dodge action. If the creature's true form is concealed by an illusion, shapeshifting, or other effect, that form is revealed while it is turned.
Paladin	Ancients	Aura Of Warding	7	Beginning at 7th level, ancient magic lies so heavily upon you that it forms an eldritch ward. You and friendly creatures within 10 feet of you have resistance to damage from spells. At 18th level, the range of this aura increases to 30 feet.
Paladin	Ancients	Undying Sentinel	15	Starting at 15th level, when you are reduced to 0 hit points and are not killed outright, you can choose to drop to 1 hit point instead. Once you use this ability, you can't use it again until you finish a long rest. Additionally, you suffer none of the drawbacks of old age, and you can't be aged magically.
Paladin	Ancients	Elder Champion	20	At 20th level, you can assume the form of an ancient force of nature, taking on an appearance of your choice. For example, your skin might turn green or take on a bark-like texture, your hair might become leafy or moss-like, or you might sprout antlers or a lion-like mane. Using your action, you undergo a transformation. For 1 minute, you gain the following benefits: At the start of each of your turns, you regain 10 hit points. Whenever you cast a paladin spell with a casting time of 1 action, you can cast it using a bonus action instead. Enemy creatures within 10 feet of you have disadvantage on saving throws against your paladin spells and Channel Divinity options. Once you use this feature, you can't use it again until you finish a long rest.
Paladin	Devotion	Tenets of Devotion	3	Though the exact words and strictures of the Oath of Devotion vary, paladins of this oath share these tenets. Honesty: Don't lie or cheat. Let your word be your promise. Courage: Never fear to act, though caution is wise. Compassion: Aid others, protect the weak, and punish those who threaten them. Show mercy to your foes, but temper it with wisdom. Honor: Treat others with fairness, and let your honorable deeds be an example to them. Do as much good as possible while causing the least amount of harm. Duty: Be responsible for your actions and their consequences, protect those entrusted to your care, and obey those who have just authority over you.
Paladin	Devotion	Oath Spells	3	You gain oath spells at the paladin levels listed. Oath of Devotion Spells: Paladin Level 3rd: Protection from Evil and Good, Sanctuary; 5th: Lesser Restoration, Zone of Truth; 9th: Beacon of Hope, Dispel Magic; 13th: Freedom of Movement, Guardian of Faith; 17th: Commune, Flame Strike.
Paladin	Devotion	Channel Divinity	3	When you take this oath at 3rd level, you gain the following two Channel Divinity options. Sacred Weapon: As an action, you can imbue one weapon that you are holding with positive energy, using your Channel Divinity. For 1 minute, you add your Charisma modifier to attack rolls made with that weapon (minimum bonus of +1). The weapon also emits bright light in a 20-foot radius and dim light 20 feet beyond that. If the weapon is not already magical, it becomes magical for the duration. You can end this effect on your turn as part of any other action. If you are no longer holding or carrying this weapon, or if you fall unconscious, this effect ends. Turn the Unholy: As an action, you present your holy symbol and speak a prayer censuring fiends and undead, using your Channel Divinity. Each fiend or undead that can see or hear you within 30 feet must make a Wisdom saving throw. If the creature fails its saving throw, it is turned for 1 minute or until it takes damage. A turned creature must spend its turns trying to move as far away from you as it can and can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If there's nowhere to move, the creature can use the Dodge action.
Paladin	Devotion	Aura of Devotion	7	Starting at 7th level, you and friendly creatures within 10 feet of you can't be charmed while you are conscious. At 18th level, the range of this aura increases to 30 feet.
Paladin	Devotion	Purity Of Spirit	15	Beginning at 15th level, you are always under the effects of a Protection from Evil and Good spell.
Paladin	Devotion	Holy Nimbus	20	At 20th level, as an action, you can emanate an aura of sunlight. For 1 minute, bright light shines from you in a 30-foot radius, and dim light shines 30 feet beyond that. Whenever an enemy creature starts its turn in the bright light, it takes 10 radiant damage. In addition, for the duration, you have advantage on saving throws against spells cast by fiends or undead. Once you use this feature, you can't use it again until you finish a long rest.
Paladin	Vengeance	Tenets Of Vengeance	3	The tenets of the Oath of Vengeance vary by paladin, but all revolve around punishing wrongdoers by any means necessary. Paladins who uphold these tenets are willing to sacrifice even their own righteousness to mete out justice upon those who do evil, often aligning as neutral or lawful neutral. The core principles of the tenets are brutally simple. Fight the Greater Evil: Faced with a choice of fighting my sworn foes or combating a lesser evil, I choose the greater evil. No Mercy for the Wicked: Ordinary foes might win my mercy, but my sworn enemies do not. By Any Means Necessary: My qualms can't get in the way of exterminating my foes. Restitution: If my foes wreak ruin on the world, it is because I failed to stop them. I must help those harmed by their misdeeds.
Paladin	Vengeance	Oath Spells	3	You gain oath spells at the paladin levels listed. Oath of Vengeance Spells: Paladin Level 3rd: Bane, Hunter's Mark; 5th: Hold Person, Misty Step; 9th: Haste, Protection from Energy; 13th: Banishment, Dimension Door; 17th: Hold Monster, Scrying.
Paladin	Vengeance	Channel Divinity	3	When you take this oath at 3rd level, you gain the following two Channel Divinity options. Abjure Enemy: As an action, you present your holy symbol and speak a prayer of denunciation, using your Channel Divinity. Choose one creature within 60 feet of you that you can see. That creature must make a Wisdom saving throw unless it is immune to being frightened. Fiends and undead have disadvantage on this saving throw. On a failed save, the creature is frightened for 1 minute or until it takes any damage. While frightened, the creature's speed is 0, and it can't benefit from any bonus to its speed. On a successful save, the creature's speed is halved for 1 minute or until it takes any damage. Vow of Enmity: As a bonus action, you can utter a vow of enmity against a creature you can see within 10 feet of you, using your Channel Divinity. You gain advantage on attack rolls against the creature for 1 minute or until it drops to 0 hit points or falls unconscious.
Paladin	Vengeance	Relentless Avenger	7	By 7th level, your supernatural focus helps you close off a foe's retreat. When you hit a creature with an opportunity attack, you can move up to half your speed immediately after the attack and as part of the same reaction. This movement doesn't provoke opportunity attacks.
Paladin	Vengeance	Soul Of Vengeance	15	Starting at 15th level, the authority with which you speak your Vow of Enmity gives you greater power over your foe. When a creature under the effect of your Vow of Enmity makes an attack, you can use your reaction to make a melee weapon attack against that creature if it is within range.
Paladin	Vengeance	Avenging Angel	20	At 20th level, you can assume the form of an angelic avenger. Using your action, you undergo a transformation. For 1 hour, you gain the following benefits: Wings sprout from your back, granting you a flying speed of 60 feet. You emanate an aura of menace in a 30-foot radius. The first time any enemy creature enters the aura or starts its turn there during a battle, the creature must succeed on a Wisdom saving throw or become frightened of you for 1 minute or until it takes any damage. Attack rolls against the frightened creature have advantage. Once you use this feature, you can't use it again until you finish a long rest.
